Equipment #,Equipment serial #,Equipment Model Description,Equipment location,Begin meter display,End meter display, Copies ,B&W/Colour,School/Dept,Month
130104,A7R0011006100,bizhub C258 Printer/Copier/Scanner, Law School- Student Organization Office,48632,50801," 2,169 ",Color,LS,8/31/18
130104,A7R0011006100,bizhub C258 Printer/Copier/Scanner, Law School- Student Organization Office,50461,52576," 2,115 ",B\W,LS,8/31/18
131550,A7R0011005928,bizhub C258 Printer/Copier/Scanner,"President’s Office -St.Thomas University 16401 NW 37th Avenue Miami Gardens, FL 33054",18601,19447, 846 ,Color,President,8/31/18
131550,A7R0011005928,bizhub C258 Printer/Copier/Scanner,"President’s Office -St.Thomas University 16401 NW 37th Avenue Miami Gardens, FL 33054",28231,29090, 859 ,B\W,President,8/31/18
131552,A7R0011005907,bizhub C258 Printer/Copier/Scanner, Main Library in front of Hilda Fernandez Office,44790,46769," 1,979 ",B\W,Library,8/31/18
131552,A7R0011005907,bizhub C258 Printer/Copier/Scanner, Main Library in front of Hilda Fernandez Office,16601,16827, 226 ,Color,Library,8/31/18
131692,A7AK011007539,Bizhub 227 Plus 2 GB Memory,replace with ID # 185198. Dooner Hall - Associate Provost,21742,21742, -   ,B\W,Provost,8/31/18
131693,A7AK011007506,Bizhub 227 Plus 2 GB Memory," Law School- Student Organization Office
",35843,36873," 1,030 ",B\W,LS,8/31/18
131694,A7AK011007491,Bizhub 227 Plus 2 GB Memory,Dooner Hall - ESL Writing Lab - Rm 105,3377,3786, 409 ,B\W,Biscayne,8/31/18
131695,A7AK011007547,Bizhub 227 Plus 2 GB Memory,Dooner Hall - Admissions Printer Room,41050,43203," 2,153 ",B\W,Admissions,8/31/18
131698,A7AK011007602,Bizhub 227 Plus 2 GB Memory,Student Center - Campus Life,18665,20368," 1,703 ",B\W,Student Affairs,8/31/18
131699,A7AK011007583,Bizhub 227 Plus 2 GB Memory,Dooner Hall - Room 209A,67896,73365," 5,469 ",B\W,Biscayne,8/31/18
